Date,Year,Month,Rainfall_mm,P_3month,P_6month,SPI_3,SPI_6,SPI3_Class,SPI6_Class
2014-07-01,2014,7,155.31031487756147,387.74316563976157,468.7135560423743,-1.385928714993416,-0.6162663534314485,Moderately Dry,Near Normal
2014-08-01,2014,8,240.65989291422807,517.4289073123302,707.8081784272691,-1.6275713538898406,-0.5844834287663658,Severely Dry,Near Normal
2014-09-01,2014,9,182.06227919015038,578.0324869819397,867.6072217266906,-1.277608537463958,-0.821792016957173,Moderately Dry,Near Normal
2014-10-01,2014,10,74.1624167970087,496.88458890138696,884.6277545411489,-0.38494695321307965,-0.9998000839397282,Near Normal,Near Normal
2014-11-01,2014,11,5.404599441079448,261.6292954282384,779.058202740569,-0.3579314508065352,-1.1854891675534966,Near Normal,Moderately Dry
2014-12-01,2014,12,0.8658657889425411,80.43288202703052,658.4653690089706,-0.05154523500846004,-1.0109377924954033,Near Normal,Moderately Dry
2015-01-01,2015,1,0.5417103003357858,6.812175530357604,503.6967644317449,1.1930197358136256,-0.3295625800663343,Moderately Wet,Near Normal
2015-02-01,2015,2,3.049229143126784,4.456805232404941,266.08610066064364,0.8023565592392099,-0.3082190140571565,Near Normal,Near Normal
2015-03-01,2015,3,18.333773222276125,21.924712665738525,102.3575946927694,1.0095998184931574,0.16184344496045086,Moderately Wet,Near Normal
2015-04-01,2015,4,14.134515339725866,35.517517705128604,42.32969323548655,-1.9502761591820068,-1.6939193672833934,Severely Dry,Severely Dry
2015-05-01,2015,5,83.14222804255598,115.6105166045578,120.06732183696309,-1.7487715413236404,-1.6678925399725393,Severely Dry,Severely Dry
2015-06-01,2015,6,94.78736685082598,192.06411023310767,213.98882289884654,-3.0749312033195,-2.9029411280694823,Extremely Dry,Extremely Dry
2015-07-01,2015,7,184.9476209387962,362.877215832178,398.39473353730693,-2.158407530837762,-2.547060191231442,Extremely Dry,Extremely Dry
2015-08-01,2015,8,294.67155342424064,574.4065412138627,690.0170578184208,-0.14523800328361708,-0.9628006591906558,Near Normal,Near Normal
2015-09-01,2015,9,183.52855370941936,663.1477280724561,855.211838305564,0.5484938119297367,-1.035244536949688,Near Normal,Moderately Dry
2015-10-01,2015,10,84.62744509352012,562.8275522271799,925.7047680593583,0.7806269344535782,-0.4052430485411371,Near Normal,Near Normal
2015-11-01,2015,11,2.5876934722091525,270.7436922751485,845.1502334890115,-0.13211230068223617,-0.18230231050660894,Near Normal,Near Normal
2015-12-01,2015,12,0.7833921956934186,87.99853076142253,751.1462588338788,0.21523511268593176,0.46489826937147977,Near Normal,Near Normal
2016-01-01,2016,1,0.4433929624079021,3.8144786303103024,566.6420308574906,-0.34575242081016466,0.7764470657171986,Near Normal,Near Normal
2016-02-01,2016,2,0.4798597329380622,1.7066448910392125,272.45033716618804,-1.154597847349992,-0.1479037138717102,Moderately Dry,Near Normal
2016-03-01,2016,3,24.562193826518723,25.485446521864517,113.48397728328737,1.4446388305009088,0.5453156849774323,Moderately Wet,Near Normal
2016-04-01,2016,4,51.94885800330262,76.99091156275924,80.80539019306988,1.4378945550749793,1.3753995221337951,Moderately Wet,Moderately Wet
2016-05-01,2016,5,105.81425678010467,182.32530860992586,184.03195350096541,1.073334875731844,1.0399552486908656,Moderately Wet,Moderately Wet
2016-06-01,2016,6,144.14064557923786,301.903760362645,327.38920688450986,0.713250528481736,1.0299808216027533,Near Normal,Moderately Wet
2016-07-01,2016,7,204.57609105317346,454.53099341251584,531.5219049752754,0.5362987109544137,0.950098464044828,Near Normal,Near Normal
2016-08-01,2016,8,239.43228088257567,588.1490175149868,770.474326124913,0.19742559930156303,0.6995810790732199,Near Normal,Near Normal
2016-09-01,2016,9,191.89608902801265,635.9044609637616,937.808221326407,-0.018025771396324913,0.35014569853508803,Near Normal,Near Normal
2016-10-01,2016,10,60.62451328698451,491.9528831975727,946.4838766100888,-0.47617174729621403,-0.11118726686826252,Near Normal,Near Normal
2016-11-01,2016,11,1.582462927878612,254.10306524287563,842.2520827578628,-0.5484094013113158,-0.22516971053968413,Near Normal,Near Normal
2016-12-01,2016,12,1.1367365971561962,63.34371281201918,699.2481737757811,-0.7233785213247977,-0.3454561410637639,Near Normal,Near Normal
2017-01-01,2017,1,0.656045929148334,3.375245454183,495.328128651756,-0.6343232694694158,-0.48343136909374373,Near Normal,Near Normal
2017-02-01,2017,2,0.3631807810803043,2.1559633073846927,256.25902855026067,-0.7315533213688901,-0.5608874718671517,Near Normal,Near Normal
2017-03-01,2017,3,5.75405709835569,6.773283808584186,70.11699662060367,-1.7306320028650144,-1.1376703265519525,Severely Dry,Moderately Dry
2017-04-01,2017,4,32.08820050048227,38.20543837991813,41.580683834101436,-1.6656135638626197,-1.7698984540704084,Severely Dry,Severely Dry
2017-05-01,2017,5,98.76635917752625,136.60861677636407,138.76458008374908,-0.7635529177943812,-0.7924397629777802,Near Normal,Near Normal
2017-06-01,2017,6,160.14823254994204,291.0027922279504,297.77607603653496,0.3837716151500528,0.10477587741505251,Near Normal,Near Normal
2017-07-01,2017,7,185.34482321779777,444.2594149452659,482.4648533251844,0.2535416272155551,-0.26187796073787917,Near Normal,Near Normal
2017-08-01,2017,8,249.9240308025664,595.4170865703061,732.0257033466704,0.37649916067927874,-0.07959857729504147,Near Normal,Near Normal
2017-09-01,2017,9,184.77488837428044,620.0437423946445,911.0465346225951,-0.3553318102705453,-0.08947475428036687,Near Normal,Near Normal
2017-10-01,2017,10,40.234110910511426,474.93303008735813,919.1924450326244,-0.7957883514881902,-0.49830907892448734,Near Normal,Near Normal
